f,1,2,3,4,5,6
161,0.2733,0.3826,0.1235,0.0541,0.0901,0.0764
162,0.5346,0.1253,0.1329,0.0536,0.0802,0.0733
163,0.1104,0.0572,0.1756,0.385,0.0783,0.1935
164,0.3869,0.2447,0.136,0.0595,0.0912,0.0816
165,0.5809,0.0998,0.1288,0.0474,0.0765,0.0666
166,0.1561,0.0658,0.3713,0.1279,0.1045,0.1744
167,0.2308,0.422,0.1216,0.0485,0.1039,0.0732
168,0.2564,0.2857,0.1592,0.0733,0.1205,0.1048
169,0.2754,0.3928,0.1194,0.0519,0.0871,0.0734
170,0.0834,0.043,0.1656,0.3703,0.0684,0.2692
171,0.4199,0.1315,0.1744,0.0527,0.1387,0.0827
172,0.3017,0.3323,0.132,0.0586,0.0936,0.0817
173,0.0667,0.0291,0.7178,0.0396,0.0697,0.0771
174,0.1163,0.0598,0.3114,0.0647,0.3052,0.1427
175,0.4477,0.1283,0.166,0.0508,0.128,0.0792
176,0.0992,0.0512,0.3172,0.0918,0.1321,0.3085
177,0.0893,0.0434,0.1938,0.3754,0.0688,0.2293
178,0.1161,0.0635,0.2056,0.2134,0.1006,0.3009
179,0.1614,0.0889,0.1873,0.0515,0.4189,0.0921
180,0.1782,0.0993,0.1937,0.0544,0.3782,0.0962
181,0.1153,0.0588,0.3048,0.0615,0.3267,0.1329
182,0.101,0.0528,0.2951,0.0954,0.1331,0.3226
183,0.1446,0.0805,0.1772,0.0487,0.4607,0.0882
184,0.0815,0.0418,0.1672,0.3574,0.0675,0.2846
185,0.0764,0.0402,0.173,0.1371,0.0737,0.4996
186,0.3177,0.1457,0.193,0.0573,0.193,0.0934
187,0.0932,0.0491,0.1873,0.2333,0.0816,0.3554
188,0.0983,0.0516,0.171,0.3781,0.0761,0.2249
189,0.2926,0.2734,0.1543,0.0728,0.1072,0.0996
190,0.506,0.1096,0.156,0.0587,0.0886,0.0811
191,0.099,0.0528,0.1941,0.2138,0.0879,0.3524
192,0.1133,0.058,0.2795,0.0579,0.3684,0.1228
193,0.1009,0.0523,0.3158,0.092,0.1362,0.3028
194,0.1013,0.0543,0.1975,0.2023,0.091,0.3536
195,0.0786,0.0414,0.1768,0.1382,0.0761,0.4888
196,0.118,0.067,0.1893,0.0531,0.4689,0.1038
197,0.0761,0.039,0.1737,0.1982,0.068,0.445
198,0.0967,0.0518,0.1968,0.1748,0.0904,0.3895
199,0.2984,0.2878,0.148,0.0685,0.1032,0.0942
200,0.3532,0.2594,0.1416,0.0635,0.0955,0.0868
201,0.0826,0.0435,0.1806,0.1598,0.0777,0.4557
202,0.2943,0.2898,0.1484,0.0688,0.1039,0.0947
203,0.0687,0.0349,0.1665,0.164,0.0623,0.5036
